"","X","street_address","wam_age","wam_income","ttl_value","ttl_population","ttl_white","ttl_black","ttl_asian","ttl_hispanic","ttl_other","statefp","countyfp","countyns","affgeoid","geoid","name","namelsad","stusps","state_name","lsad","aland","awater","state_abbr","jurisdiction_type","geometry"
"84",84,"101 Hodgeville Rd",36.7024390243902,82833.3658536585,41,41881,26017,9947,1200,3117,1600,"13","051","01694477","0500000US13051","13051","Chatham","Chatham County","GA","Georgia","06",1121772804,509852786,"GA","state",c(-81.24758, 32.195663)
"85",85,"101 Hoffman Dr",39.2627187079408,63395.8200270636,743,343759,226032,73866,8935,27344,7582,"13","285","01673298","0500000US13285","13285","Troup","Troup County","GA","Georgia","06",1072278217,82757751,"GA","state",c(-84.973101, 33.041599)
"86",86,"101 Lukken Industrial Dr W",37.7261780104712,53731.0026737968,382,163577,92023,58786,2378,7488,2902,"13","285","01673298","0500000US13285","13285","Troup","Troup County","GA","Georgia","06",1072278217,82757751,"GA","state",c(-85.029657, 33.012426)
"87",87,"101 Marshallville Rd",39.9517985611511,64358.3741007194,278,175123,121892,31185,3253,14066,4727,"13","153","01671693","0500000US13153","13153","Houston","Houston County","GA","Georgia","06",973954137,9990192,"GA","state",c(-83.750124, 32.447273)
"88",88,"101 N Coastal Hwy",40.1966101694915,67946.7457627119,59,37226,22920,6216,699,6358,1033,"13","051","01694477","0500000US13051","13051","Chatham","Chatham County","GA","Georgia","06",1121772804,509852786,"GA","state",c(-81.165464, 32.157285)
"89",89,"101 N Lathrop Ave",40.2578947368421,63539,42,40002,22515,12400,1040,2722,1325,"13","051","01694477","0500000US13051","13051","Chatham","Chatham County","GA","Georgia","06",1121772804,509852786,"GA","state",c(-81.110894, 32.09485)
"90",90,"101 N Main St",40.6665354330709,49365.8553719008,254,66657,43970,11073,760,9593,1261,"13","305","00350608","0500000US13305","13305","Wayne","Wayne County","GA","Georgia","06",1662287070,17768149,"GA","state",c(-82.02827, 31.664718)
"91",91,"101 N Main St",39.9039007092199,51956.6287878788,282,85187,62234,12193,964,7967,1829,"13","233","00343585","0500000US13233","13233","Polk","Polk County","GA","Georgia","06",803767094,4673256,"GA","state",c(-85.254721, 34.01487)
"92",92,"101 Primrose Rd SW",37.3190476190476,53057.7142857143,21,10932,9553,790,35,205,349,"13","115","00353665","0500000US13115","13115","Floyd","Floyd County","GA","Georgia","06",1320404595,22414013,"GA","state",c(-85.189888, 34.21211)
"93",93,"101 S Broad St",41.3120967741935,47637.2741935484,124,47736,27704,15561,639,2781,1051,"13","197","00344107","0500000US13197","13197","Marion","Marion County","GA","Georgia","06",947209658,3790127,"GA","state",c(-84.518394, 32.317557)
"94",94,"101 S Columbia Ave",36.3922413793103,62491.9655172414,116,58479,43453,9765,519,2540,2202,"13","103","00350219","0500000US13103","13103","Effingham","Effingham County","GA","Georgia","06",1240161595,10552453,"GA","state",c(-81.234808, 32.289577)
"95",95,"101 S Duval St",39.8111111111111,44990,36,13502,7669,3856,39,1745,193,"13","109","00345923","0500000US13109","13109","Evans","Evans County","GA","Georgia","06",473694905,10295112,"GA","state",c(-81.904525, 32.159043)
"96",96,"101 S Main St",42.1076923076923,41983.8417266187,143,40107,35077,2278,304,1790,658,"13","025","00351605","0500000US13025","13025","Brantley","Brantley County","GA","Georgia","06",1147972258,10291563,"GA","state",c(-81.982893, 31.201851)
"97",97,"101 S Pierce St",38.9818181818182,43125.6363636364,22,6182,4441,569,140,1013,19,"13","005","00344784","0500000US13005","13005","Bacon","Bacon County","GA","Georgia","06",735770219,4506310,"GA","state",c(-82.462594, 31.541045)
"98",98,"101 Sand Bar Ferry Rd",35.7859813084112,54107.5643564356,107,66810,32674,27952,1289,2938,1957,"13","245","00358024","0500000US13245","13245","Richmond","Richmond County","GA","Georgia","06",840036613,10995252,"GA","state",c(-81.9477, 33.468599)
"99",99,"101 US Highway 1 Byp N",38.7231481481481,42830.4537037037,108,38437,21341,12964,728,2130,1274,"13","163","00345714","0500000US13163","13163","Jefferson","Jefferson County","GA","Georgia","06",1363771357,8059597,"GA","state",c(-82.395319, 33.00442)
"100",100,"101 Vineville St",39.5141509433962,50928.5424528302,212,99095,55340,32074,3628,6352,1701,"13","225","00343153","0500000US13225","13225","Peach","Peach County","GA","Georgia","06",389234765,2678496,"GA","state",c(-83.884497, 32.558701)
"101",101,"101 W 8th St",40.2819494584838,58140.8571428571,277,106182,67419,29768,2712,3644,2639,"13","285","01673298","0500000US13285","13285","Troup","Troup County","GA","Georgia","06",1072278217,82757751,"GA","state",c(-85.182463, 32.876436)
"102",102,"101 W Central Blvd",37.7274698795181,60903.3421686747,415,85026,64706,13144,841,3444,2891,"13","103","00350219","0500000US13103","13103","Effingham","Effingham County","GA","Georgia","06",1240161595,10552453,"GA","state",c(-81.393453, 32.330635)
"103",103,"1010 2nd St W",41.2546798029557,62559.1005025126,203,83426,58383,12602,3140,7199,2102,"13","277","00344090","0500000US13277","13277","Tift","Tift County","GA","Georgia","06",675702087,20458524,"GA","state",c(-83.527741, 31.457476)
"104",104,"1010 E Walnut Ave",37.3127118644068,50140.0254237288,118,49207,33741,2752,386,11605,723,"13","313","00353513","0500000US13313","13313","Whitfield","Whitfield County","GA","Georgia","06",752248663,1579031,"GA","state",c(-84.953197, 34.760822)
"105",105,"1010 Highway 34 E",38.7739552964043,74300.2654260529,1029,491066,321984,114266,14993,28562,11261,"13","077","00326666","0500000US13077","13077","Coweta","Coweta County","GA","Georgia","06",1142364907,12680737,"GA","state",c(-84.744929, 33.397562)
"106",106,"1010 Mars Hill Rd",40.1488571428571,84044.1085714286,700,167821,113411,30195,6459,14612,3144,"13","219","00356774","0500000US13219","13219","Oconee","Oconee County","GA","Georgia","06",477443088,5264894,"GA","state",c(-83.441809, 33.873715)
"107",107,"1010 N 3rd Ave",37.9921161825726,53131.9294605809,241,80332,64130,2148,406,12394,1254,"13","213","01688005","0500000US13213","13213","Murray","Murray County","GA","Georgia","06",892235145,5719644,"GA","state",c(-84.769433, 34.78075)
"108",108,"1010 N Washington St",40.0873015873016,38266.9152542373,63,15088,7905,5844,270,931,138,"13","027","00345518","0500000US13027","13027","Brooks","Brooks County","GA","Georgia","06",1277341275,11955761,"GA","state",c(-83.557181, 30.79712)
"109",109,"1010 Parkside Cmns Ste 103",48.3875,77624.0625,32,11148,7741,2691,385,216,115,"13","133","00348672","0500000US13133","13133","Greene","Greene County","GA","Georgia","06",1003664492,48417220,"GA","state",c(-83.245842, 33.455081)
"110",110,"1010 Us 84",38.851,42600.86,100,38169,22164,11671,162,3574,598,"13","131","00351261","0500000US13131","13131","Grady","Grady County","GA","Georgia","06",1177051414,15026665,"GA","state",c(-84.208347, 30.887983)
